SINGH_NFE2L2_TARGETS,DepMap_ID
8772.64034,ACH-000705
8317.610679,ACH-000062
8280.07363,ACH-000475
8261.140538,ACH-000686
7927.532781,ACH-000311
7897.479496,ACH-000888
7868.052663,ACH-000390
7824.779652,ACH-000463
7813.355492,ACH-000496
7803.854205957471,ACH-000555
7656.263763,ACH-000422
7645.224797584391,ACH-000781
7606.520142,ACH-000171
7487.151862664499,ACH-000589
7295.617387,ACH-000234
7253.806577007859,ACH-000414
7251.822041,ACH-000237
7215.427974608509,ACH-000893
7196.241307,ACH-000690
7186.426158709441,ACH-000250
7091.43606,ACH-000030
7062.294262673209,ACH-000878
7033.799084148261,ACH-000471
7011.393928,ACH-000378
6959.500302459351,ACH-000924
6939.221851,ACH-000701
6939.144418,ACH-000779
6869.6389334019495,ACH-000459
6859.661117,ACH-000447
6818.348401,ACH-001318
6806.960993,ACH-000681
6744.539394517579,ACH-000648
6688.988916,ACH-000521
6677.874345,ACH-001673
6512.899014,ACH-000787
6497.844163657281,ACH-000246
6474.515002478261,ACH-000385
6455.705475268879,ACH-000389
6412.162761601579,ACH-000248
6380.334863,ACH-000478
6359.253686,ACH-000581
6302.968242,ACH-000309
6159.438143,ACH-000484
6152.088364,ACH-000536
6148.926171233559,ACH-000470
6138.219195,ACH-000766
6112.458267863471,ACH-000442
6089.637857,ACH-000726
6050.260677,ACH-000971
6042.205778,ACH-000561
6016.208192538829,ACH-000437
6000.450834,ACH-000573
5967.253549,ACH-000666
5962.016561,ACH-000979
5953.483486633771,ACH-000671
5945.831793,ACH-000744
5929.136077,ACH-000593
5923.120283,ACH-001497
5908.309981,ACH-001377
5855.954198261579,ACH-000650
5826.714628,ACH-000416
5803.8356451236405,ACH-001391
5780.020677,ACH-000404
5769.182747,ACH-001554
5739.326156,ACH-000693
5724.327219,ACH-000793
5694.093568,ACH-000488
5678.68931,ACH-000544
5625.676135033969,ACH-000450
5619.623933,ACH-000603
5616.227241,ACH-000485
5611.638404115711,ACH-000848
5604.497289,ACH-001410
5602.833561,ACH-000852
5602.389702,ACH-001557
5530.265600451421,ACH-000268
5491.14257,ACH-000247
5461.666941,ACH-000381
5446.928283,ACH-000296
5440.957689624671,ACH-001664
5427.457449,ACH-000929
5421.561352,ACH-000272
5396.652897,ACH-001566
5366.027204,ACH-001540
5362.052502,ACH-000887
5353.713456,ACH-000601
5338.629181,ACH-000291
5331.980607,ACH-000393
5319.056025,ACH-000009
5315.678859,ACH-000892
5253.961259067621,ACH-000797
5228.771442,ACH-000117
5226.072717,ACH-000201
5218.944546,ACH-000891
5217.141133,ACH-000676
5200.374032,ACH-000480
5187.2915762024495,ACH-000327
5161.650859,ACH-000282
5157.84859,ACH-000433
5156.472352,ACH-000876
5134.688412,ACH-000982
5125.284313,ACH-000191
5123.355632,ACH-000992
5122.911979,ACH-000934
5103.892559,ACH-000489
5101.436099,ACH-001496
5088.005436,ACH-000571
5071.317434,ACH-000652
5066.647789,ACH-001522
5065.824717209171,ACH-000319
5043.362254,ACH-000329
5022.068912,ACH-000089
5010.923608,ACH-000625
5009.667721,ACH-000215
4993.477286,ACH-000513
4987.906597,ACH-000730
4977.039512,ACH-001460
4961.954521,ACH-002011
4957.100659,ACH-000572
4948.491628,ACH-000827
4948.324886,ACH-000826
4933.321688,ACH-001818
4931.482748,ACH-000792
4931.005925,ACH-000368
4925.894273,ACH-000429
4923.530660443211,ACH-000846
4920.372086,ACH-001715
4895.562268,ACH-000396
4894.454732,ACH-000637
4891.061965,ACH-000550
4882.418704,ACH-000316
4869.285503,ACH-000837
4867.24391,ACH-000709
4865.041661,ACH-000784
4850.569091423889,ACH-000667
4849.124449210661,ACH-000003
4848.449218,ACH-000214
4842.298896097779,ACH-000159
4803.716988,ACH-000532
4801.052343,ACH-000590
4791.312627,ACH-000926
4787.660712,ACH-000663
4784.407522,ACH-000734
4779.488566,ACH-000859
4774.877172,ACH-000706
4765.971462,ACH-000600
4736.162089037151,ACH-000882
4731.787809,ACH-001856
4729.0574,ACH-000835
4727.617938,ACH-000841
4722.261588,ACH-000434
4719.208093,ACH-000615
4718.357231821779,ACH-000679
4717.673757180971,ACH-000951
4715.709151,ACH-001061
4709.910130291029,ACH-000798
4703.5448,ACH-000554
4701.97967,ACH-000579
4680.964017,ACH-000844
4679.0537573316105,ACH-001380
4677.464281,ACH-001067
4676.283914,ACH-000727
4670.821418,ACH-000163
4669.758961,ACH-000633
4666.123318,ACH-000640
4659.237669,ACH-000997
4656.298403,ACH-000605
4651.757464,ACH-000008
4649.808701,ACH-000016
4642.739196,ACH-001382
4635.776647,ACH-000420
4628.571908,ACH-000968
4620.414343,ACH-000495
4616.317329,ACH-000377
4600.025638,ACH-001086
4586.708345,ACH-001360
4579.699736,ACH-000691
4576.414961,ACH-000801
4570.845445,ACH-000917
4570.12464,ACH-000012
4554.050442672949,ACH-000141
4554.027185,ACH-000455
4546.753449,ACH-001532
4543.770764,ACH-000148
4535.305239,ACH-000164
4529.417301,ACH-000482
4524.070605,ACH-000614
4520.496007,ACH-000359
4518.324058,ACH-000352
4485.389646,ACH-000262
4470.699607,ACH-000160
4465.189292,ACH-001368
4462.986566,ACH-001375
4460.486333821429,ACH-000683
4459.798348,ACH-000831
4459.675686,ACH-000395
4447.56181,ACH-000731
4445.625475,ACH-001207
4445.039283,ACH-000503
4442.446139,ACH-000915
4430.212497,ACH-000872
